lncRNA_ID,Score,PredLabel
lNONHSAG073474,1.406644071726273,1
lENSG00000285424,1.4545589559793335,1
lNONHSAG027920,0.7257756354562694,1
lNONHSAG023752,1.3448173487000723,1
lHSALNG0147030,1.5866113010702456,1
lNONHSAG024778,1.2515054887846553,1
lNONHSAG009467,1.5046593252221605,1
lENSG00000287708,1.4985639899789298,1
lNONHSAG054208,1.0269863444486695,1
lNONHSAG031415,1.6167031909828289,1
lNONHSAG007508,1.3738140101285943,1
lNONHSAG029906,1.5558139055103872,1
lNONHSAG044916,1.5152321890241858,1
lNONHSAG034027,0.9889147381901431,1
lNONHSAG053768,1.6031814142182519,1
lNONHSAG031666,1.1762165227933217,1
lHSALNG0127940,1.2093379538269424,1
lNONHSAG024666,1.4866612971970987,1
