identifier,gene_id,symbol
NONMMUG027773,NONMMUG027773,NONMMUG027773
NONMMUG009237,NONMMUG009237,NONMMUG009237
NONMMUG001144,NONMMUG001144,NONMMUG001144
NONMMUG002225,NONMMUG002225,NONMMUG002225
NONMMUG024040,NONMMUG024040,NONMMUG024040
NONMMUG002502,NONMMUG002502,NONMMUG002502
NONMMUG005991,NONMMUG005991,NONMMUG005991
NONMMUG001688,NONMMUG001688,NONMMUG001688
NONMMUG044085,NONMMUG044085,NONMMUG044085
NONMMUG027006,NONMMUG027006,NONMMUG027006
NONMMUG010867,NONMMUG010867,NONMMUG010867
NONMMUG033950,NONMMUG033950,NONMMUG033950
NONMMUG040991,NONMMUG040991,NONMMUG040991
NONMMUG038161,NONMMUG038161,NONMMUG038161
NONMMUG036444,NONMMUG036444,NONMMUG036444
NONMMUG009290,NONMMUG009290,NONMMUG009290
NONMMUG001955,NONMMUG001955,NONMMUG001955
NONMMUG036434,NONMMUG036434,NONMMUG036434
NONMMUG034784,NONMMUG034784,NONMMUG034784
NONMMUG000753,NONMMUG000753,NONMMUG000753
NONMMUG035543,NONMMUG035543,NONMMUG035543
NONMMUG036365,NONMMUG036365,NONMMUG036365
NONMMUG040627,NONMMUG040627,NONMMUG040627
NONMMUG035822,NONMMUG035822,NONMMUG035822
NONMMUG000313,NONMMUG000313,NONMMUG000313
NONMMUG022639,NONMMUG022639,NONMMUG022639
NONMMUG011610,NONMMUG011610,NONMMUG011610
NONMMUG009971,NONMMUG009971,NONMMUG009971
NONMMUG000386,NONMMUG000386,NONMMUG000386
NONMMUG000425,NONMMUG000425,NONMMUG000425
NONMMUG000480,NONMMUG000480,NONMMUG000480
NONMMUG000742,NONMMUG000742,NONMMUG000742
NONMMUG000754,NONMMUG000754,NONMMUG000754
NONMMUG000842,NONMMUG000842,NONMMUG000842
NONMMUG001105,NONMMUG001105,NONMMUG001105
NONMMUG001374,NONMMUG001374,NONMMUG001374
NONMMUG001555,NONMMUG001555,NONMMUG001555
NONMMUG001677,NONMMUG001677,NONMMUG001677
NONMMUG001779,NONMMUG001779,NONMMUG001779
NONMMUG001780,NONMMUG001780,NONMMUG001780
NONMMUG002168,NONMMUG002168,NONMMUG002168
NONMMUG002194,NONMMUG002194,NONMMUG002194
NONMMUG026731,NONMMUG026731,NONMMUG026731
NONMMUG027155,NONMMUG027155,NONMMUG027155
NONMMUG028173,NONMMUG028173,NONMMUG028173
NONMMUG032030,NONMMUG032030,NONMMUG032030
NONMMUG032262,NONMMUG032262,NONMMUG032262
NONMMUG032483,NONMMUG032483,NONMMUG032483
NONMMUG032875,NONMMUG032875,NONMMUG032875
NONMMUG032939,NONMMUG032939,NONMMUG032939
NONMMUG033471,NONMMUG033471,NONMMUG033471
NONMMUG033497,NONMMUG033497,NONMMUG033497
NONMMUG033752,NONMMUG033752,NONMMUG033752
NONMMUG034050,NONMMUG034050,NONMMUG034050
NONMMUG034503,NONMMUG034503,NONMMUG034503
NONMMUG035428,NONMMUG035428,NONMMUG035428
NONMMUG035491,NONMMUG035491,NONMMUG035491
NONMMUG035630,NONMMUG035630,NONMMUG035630
NONMMUG036034,NONMMUG036034,NONMMUG036034
NONMMUG036282,NONMMUG036282,NONMMUG036282
NONMMUG036378,NONMMUG036378,42071
NONMMUG036903,NONMMUG036903,NONMMUG036903
NONMMUG037643,NONMMUG037643,NONMMUG037643
NONMMUG038063,NONMMUG038063,NONMMUG038063
NONMMUG038266,NONMMUG038266,NONMMUG038266
NONMMUG038288,NONMMUG038288,NONMMUG038288
NONMMUG038660,NONMMUG038660,NONMMUG038660
NONMMUG038903,NONMMUG038903,NONMMUG038903
NONMMUG040520,NONMMUG040520,NONMMUG040520
NONMMUG041373,NONMMUG041373,NONMMUG041373
NONMMUG042487,NONMMUG042487,NONMMUG042487
NONMMUG043647,NONMMUG043647,NONMMUG043647
NONMMUG043659,NONMMUG043659,NONMMUG043659
NONMMUG043822,NONMMUG043822,NONMMUG043822
NONMMUG043908,NONMMUG043908,NONMMUG043908
NONMMUG003786,NONMMUG003786,NONMMUG003786
NONMMUG008908,NONMMUG008908,NONMMUG008908
NONMMUG014517,NONMMUG014517,NONMMUG014517
NONMMUG044454,NONMMUG044454,NONMMUG044454
NONMMUG026936,NONMMUG026936,NONMMUG026936
NONMMUG001441,NONMMUG001441,NONMMUG001441
NONMMUG000550,NONMMUG000550,RPI001_808051
NONMMUG010255,NONMMUG010255,NONMMUG010255
NONMMUG026311,NONMMUG026311,NONMMUG026311
NONMMUG034008,NONMMUG034008,NONMMUG034008
NONMMUG028204,NONMMUG028204,NONMMUG028204
NONMMUG019930,NONMMUG019930,NONMMUG019930
NONMMUG039073,NONMMUG039073,NONMMUG039073
NONMMUG032148,NONMMUG032148,NONMMUG032148
NONMMUG043645,NONMMUG043645,NONMMUG043645
NONMMUG035667,NONMMUG035667,NONMMUG035667
NONMMUG020442,NONMMUG020442,NONMMUG020442
NONMMUG001819,NONMMUG001819,NONMMUG001819
NONMMUG002780,NONMMUG002780,RPI001_813946
NONMMUG001366,NONMMUG001366,NONMMUG001366
NONMMUG022732,NONMMUG022732,NONMMUG022732
NONMMUG002065,NONMMUG002065,NONMMUG002065
NONMMUG043951,NONMMUG043951,NONMMUG043951
NONMMUG017199,NONMMUG017199,NONMMUG017199
NONMMUG002191,NONMMUG002191,NONMMUG002178
NONMMUG031662,NONMMUG031662,NONMMUG031662
NONMMUG042670,NONMMUG042670,NONMMUG042670
NONMMUG014839,NONMMUG014839,NONMMUG014839
NONMMUG002852,NONMMUG002852,NONMMUG002852
NONMMUG011222,NONMMUG011222,NONMMUG011222
NONMMUG031937,NONMMUG031937,NONMMUG031937
NONMMUG003276,NONMMUG003276,NONMMUG003276
NONMMUG003158,NONMMUG003158,NONMMUG003158
NONMMUG009125,NONMMUG009125,NONMMUG009125
NONMMUG038066,NONMMUG038066,NONMMUG038066
NONMMUG011034,NONMMUG011034,NONMMUG011034
NONMMUG004490,NONMMUG004490,NONMMUG004490
NONMMUG002658,NONMMUG002658,NONMMUG002658
NONMMUG028218,NONMMUG028218,NONMMUG028218
NONMMUG032234,NONMMUG032234,NONMMUG032234
NONMMUG043954,NONMMUG043954,NONMMUG043954
NONMMUG028362,NONMMUG028362,NONMMUG028362
NONMMUG003252,NONMMUG003252,NONMMUG003252
NONMMUG027762,NONMMUG027762,NONMMUG027762
NONMMUG022729,NONMMUG022729,NONMMUG022729
NONMMUG008709,NONMMUG008709,NONMMUG008709
NONMMUG008708,NONMMUG008708,NONMMUG008708
NONMMUG027157,NONMMUG027157,NONMMUG027157
NONMMUG008927,NONMMUG008927,NONMMUG008927
NONMMUG013668,NONMMUG013668,NONMMUG013668
NONMMUG013667,NONMMUG013667,NONMMUG013667
NONMMUG042288,NONMMUG042288,NONMMUG042288
NONMMUG038286,NONMMUG038286,NONMMUG038286
NONMMUG026614,NONMMUG026614,NONMMUG026614
NONMMUG017569,NONMMUG017569,NONMMUG017569
NONMMUG019033,NONMMUG019033,NONMMUG019033
NONMMUG012424,NONMMUG012424,NONMMUG012424
NONMMUG012422,NONMMUG012422,NONMMUG012422
NONMMUG042644,NONMMUG042644,NONMMUG042644
NONMMUG004142,NONMMUG004142,NONMMUG004142
NONMMUG008661,NONMMUG008661,NONMMUG008661
NONMMUG008713,NONMMUG008713,NONMMUG008713
NONMMUG027148,NONMMUG027148,NONMMUG027148
NONMMUG004723,NONMMUG004723,NONMMUG004723
NONMMUG012787,NONMMUG012787,NONMMUG012787
NONMMUG012789,NONMMUG012789,NONMMUG012789
NONMMUG043253,NONMMUG043253,NONMMUG043253
NONMMUG013271,NONMMUG013271,NONMMUG013271
NONMMUG039743,NONMMUG039743,NONMMUG039743
NONMMUG027038,NONMMUG027038,NONMMUG027038
NONMMUG033994,NONMMUG033994,RPI002_008087
NONMMUG041134,NONMMUG041134,NONMMUG041134
NONMMUG011685,NONMMUG011685,NONMMUG011685
NONMMUG043808,NONMMUG043808,NONMMUG043808
NONMMUG005049,NONMMUG005049,NONMMUG005049
NONMMUG028342,NONMMUG028342,NONMMUG028342
