dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000020307,Cdc34,NE,,"{""mgi_marker"":""MGI:102657"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102657""}"
115,10090,ENSMUSG00000060882,Kcnd2,NE,,"{""mgi_marker"":""MGI:102663"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102663""}"
115,10090,ENSMUSG00000003099,Ppp5c,NE,,"{""mgi_marker"":""MGI:102666"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102666""}"
115,10090,ENSMUSG00000052468,Pmp2,NE,,"{""mgi_marker"":""MGI:102667"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102667""}"
115,10090,ENSMUSG00000021758,Ddx4,NE,,"{""mgi_marker"":""MGI:102670"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102670""}"
115,10090,ENSMUSG00000070691,Runx3,C,,"{""mgi_marker"":""MGI:102672"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102672""}"
115,10090,ENSMUSG00000026934,Lhx3,C,,"{""mgi_marker"":""MGI:102673"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102673""}"
115,10090,ENSMUSG00000030963,Umod,NE,,"{""mgi_marker"":""MGI:102674"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102674""}"
115,10090,ENSMUSG00000030905,Crym,NE,,"{""mgi_marker"":""MGI:102675"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102675""}"
115,10090,ENSMUSG00000023088,Abcc1,NE,,"{""mgi_marker"":""MGI:102676"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102676""}"
115,10090,ENSMUSG00000020536,Llgl1,C,,"{""mgi_marker"":""MGI:102682"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102682""}"
115,10090,ENSMUSG00000019312,Grb7,NE,,"{""mgi_marker"":""MGI:102683"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102683""}"
115,10090,ENSMUSG00000102037,Bcl2a1a,NE,,"{""mgi_marker"":""MGI:102687"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102687""}"
115,10090,ENSMUSG00000049932,H2afx,NE,,"{""mgi_marker"":""MGI:102688"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102688""}"
115,10090,ENSMUSG00000033278,Ptprm,NE,,"{""mgi_marker"":""MGI:102694"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102694""}"
115,10090,ENSMUSG00000033295,Ptprf,NE,,"{""mgi_marker"":""MGI:102695"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102695""}"
115,10090,ENSMUSG00000058499,Pip,NE,,"{""mgi_marker"":""MGI:102696"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102696""}"
115,10090,ENSMUSG00000025348,Itga7,C,,"{""mgi_marker"":""MGI:102700"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102700""}"
115,10090,ENSMUSG00000071658,Gng3,C,,"{""mgi_marker"":""MGI:102704"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102704""}"
115,10090,ENSMUSG00000021273,Fdft1,C,,"{""mgi_marker"":""MGI:102706"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102706""}"
115,10090,ENSMUSG00000003070,Efna2,NE,,"{""mgi_marker"":""MGI:102707"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102707""}"
115,10090,ENSMUSG00000031217,Efnb1,NE,,"{""mgi_marker"":""MGI:102708"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102708""}"
115,10090,ENSMUSG00000007655,Cav1,C,,"{""mgi_marker"":""MGI:102709"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102709""}"
115,10090,ENSMUSG00000029352,Crybb3,NE,,"{""mgi_marker"":""MGI:102717"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102717""}"
115,10090,ENSMUSG00000009621,Vav2,NE,,"{""mgi_marker"":""MGI:102718"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102718""}"
115,10090,ENSMUSG00000022122,Ednrb,C,,"{""mgi_marker"":""MGI:102720"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102720""}"
115,10090,ENSMUSG00000001151,Pcnt,C,,"{""mgi_marker"":""MGI:102722"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102722""}"
115,10090,ENSMUSG00000041763,Tpp2,C,,"{""mgi_marker"":""MGI:102724"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102724""}"
115,10090,ENSMUSG00000029366,Dck,NE,,"{""mgi_marker"":""MGI:102726"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102726""}"
