gene	essentiality	ncbi_id	ensembl
SF3B4	CEGs	10262	ENSG00000143368
SF3B5	CEGs	83443	ENSG00000169976
SFRP4	CSEGs	6424	ENSG00000106483
SFT2D1	CSEGs	113402	ENSG00000198818
SFTPA1	CSEGs	653509	ENSG00000122852
SGCD	CSEGs	6444	ENSG00000170624
SGSH	CSEGs	6448	
SGSM3	CSEGs	27352	ENSG00000100359
SH2B3	CSEGs	10019	
SH2D4A	CSEGs	63898	ENSG00000104611
SH3BGRL	CSEGs	6451	ENSG00000131171
SH3D21	CSEGs	79729	ENSG00000214193
SH3GLB1	CSEGs	51100	ENSG00000097033
SH3RF1	CSEGs	57630	ENSG00000154447
SHARPIN	CSEGs	81858	ENSG00000179526
SHCBP1	CSEGs	79801	ENSG00000171241
SHE	CSEGs	126669	ENSG00000169291
SHISA9	CSEGs	729993	ENSG00000237515
SIGLEC14	CSEGs	100049587	ENSG00000254415
SIM2	CSEGs	6493	ENSG00000159263
SIPA1L1	CSEGs	26037	
SIRPB1	CSEGs	10326	ENSG00000101307
SIRPB2	CSEGs	284759	ENSG00000196209
SLC10A4	CSEGs	201780	ENSG00000145248
SLC12A5	CSEGs	57468	ENSG00000124140
SLC12A7	CSEGs	10723	ENSG00000113504
SLC16A3	CSEGs	9123	ENSG00000141526
SLC17A3	CSEGs	10786	ENSG00000124564
SLC19A2	CSEGs	10560	ENSG00000117479
SLC19A3	CSEGs	80704	ENSG00000135917
SLC1A1	CSEGs	6505	ENSG00000106688
SLC22A14	CSEGs	9389	ENSG00000144671
SLC22A18	CSEGs	5002	ENSG00000110628
SLC24A4	CSEGs	123041	ENSG00000140090
SLC25A12	CSEGs	8604	ENSG00000115840
SLC25A2	CSEGs	83884	ENSG00000120329
SLC25A39	CSEGs	51629	ENSG00000013306
SLC26A11	CSEGs	284129	ENSG00000181045
SLC26A9	CSEGs	115019	ENSG00000174502
SLC28A1	CSEGs	9154	ENSG00000156222
SLC29A2	CSEGs	3177	ENSG00000174669
SLC2A14	CSEGs	144195	ENSG00000173262
SLC2A7	CSEGs	155184	ENSG00000197241
SLC30A2	CSEGs	7780	ENSG00000158014
SLC31A2	CSEGs	1318	ENSG00000136867
SLC34A2	CSEGs	10568	ENSG00000157765
SLC34A3	CSEGs	142680	ENSG00000198569
SLC35A1	CSEGs	10559	ENSG00000164414
SLC35B1	CEGs	10237	ENSG00000121073
SLC35C1	CSEGs	55343	ENSG00000181830
SLC35D1	CSEGs	23169	ENSG00000116704
SLC35G2	CSEGs	80723	ENSG00000168917
SLC37A3	CSEGs	84255	ENSG00000157800
SLC39A5	CSEGs	283375	ENSG00000139540
SLC39A8	CSEGs	64116	ENSG00000138821
SLC39A9	CSEGs	55334	
SLC41A1	CSEGs	254428	ENSG00000133065
SLC43A3	CSEGs	29015	ENSG00000134802
SLC44A1	CSEGs	23446	ENSG00000070214
SLC46A1	CSEGs	113235	
SLC46A3	CSEGs	283537	ENSG00000139508
SLC4A5	CSEGs	57835	ENSG00000188687
SLC6A13	CSEGs	6540	ENSG00000010379
SLC6A16	CSEGs	28968	ENSG00000063127
SLC6A17	CSEGs	388662	ENSG00000197106
SLC6A18	CSEGs	348932	ENSG00000164363
SLC7A8	CSEGs	23428	ENSG00000092068
SLCO1A2	CSEGs	6579	ENSG00000084453
SLFN5	CSEGs	162394	
SLU7	CEGs	10569	ENSG00000164609
SLX4IP	CSEGs	128710	ENSG00000149346
SMAD3	CSEGs	4088	ENSG00000166949
SMARCD2	CSEGs	6603	ENSG00000108604
SMC1A	CEGs	8243	ENSG00000072501
SMC4	CEGs	10051	ENSG00000113810
SMC6	CEGs	79677	ENSG00000163029
SMCP	CSEGs	4184	ENSG00000163206
SMG6	CEGs	23293	ENSG00000070366
SMIM7	CSEGs	79086	ENSG00000214046
SMNDC1	CEGs	10285	ENSG00000119953
SMOX	CSEGs	54498	ENSG00000088826
SMPD3	CSEGs	55512	ENSG00000103056
SMU1	CEGs	55234	ENSG00000122692
SNAPC1	CEGs	6617	ENSG00000023608
SNAPC3	CEGs	6619	ENSG00000164975
SNAPIN	CSEGs	23557	ENSG00000143553
SNCB	CSEGs	6620	ENSG00000074317
SNIP1	CSEGs	79753	ENSG00000163877
SNRNP200	CEGs	23020	ENSG00000144028
SNRNP25	CEGs	79622	ENSG00000161981
SNRNP70	CEGs	6625	ENSG00000104852
SNRPA1	CEGs	6627	ENSG00000131876
SNRPB	CEGs	6628	ENSG00000125835
SNRPD1	CEGs	6632	ENSG00000167088
SNRPD2	CEGs	6633	ENSG00000125743
SNRPD3	CEGs	6634	ENSG00000100028
SNRPE	CEGs	6635	ENSG00000182004
SNRPF	CEGs	6636	ENSG00000139343
SNRPG	CEGs	6637	ENSG00000143977
SNTB2	CSEGs	6645	ENSG00000168807
SNW1	CEGs	22938	ENSG00000100603
SNX16	CSEGs	64089	ENSG00000104497
SNX24	CSEGs	28966	ENSG00000064652
SOCS4	CSEGs	122809	ENSG00000180008
SORCS2	CSEGs	57537	ENSG00000184985
SOWAHC	CSEGs	65124	ENSG00000198142
SOX7	CSEGs	83595	ENSG00000171056
SPAG7	CSEGs	9552	
SPAG8	CSEGs	26206	ENSG00000137098
SPAG9	CSEGs	9043	ENSG00000008294
SPAM1	CSEGs		ENSG00000106304
SPARCL1	CSEGs	8404	ENSG00000152583
SPATA4	CSEGs	132851	ENSG00000150628
SPATA7	CSEGs	55812	
SPATS2L	CSEGs	26010	ENSG00000196141
SPC24	CEGs	147841	
SPC25	CEGs	57405	ENSG00000152253
SPCS1	CSEGs	28972	ENSG00000114902
SPCS3	CEGs	60559	ENSG00000129128
SPDL1	CEGs	54908	ENSG00000040275
SPEF2	CSEGs	79925	ENSG00000152582
SPESP1	CSEGs	246777	
SPIC	CSEGs	121599	ENSG00000166211
SPIN3	CSEGs	169981	ENSG00000204271
SPINT2	CSEGs	10653	ENSG00000167642
SPINT4	CSEGs	391253	ENSG00000149651
SPNS3	CSEGs	201305	ENSG00000182557
SPPL3	CSEGs	121665	ENSG00000157837
SPRYD4	CSEGs	283377	ENSG00000176422
SPSB1	CSEGs	80176	ENSG00000171621
SPTLC3	CSEGs	55304	ENSG00000172296
SRBD1	CEGs	55133	ENSG00000068784
SRC	CSEGs	6714	ENSG00000197122
SRP19	CEGs	6728	ENSG00000153037
SRP54	CEGs	6729	ENSG00000100883
SRP9	CEGs	6726	ENSG00000143742
SRRM5	CSEGs	100170229	ENSG00000226763
SRRT	CEGs	51593	ENSG00000087087
SRSF1	CEGs	6426	ENSG00000136450
SRSF3	CEGs	6428	ENSG00000112081
SRSF7	CEGs	6432	ENSG00000115875
SRY	CSEGs	6736	ENSG00000184895
SS18	CSEGs	6760	
SS18L2	CEGs	51188	ENSG00000008324
SSR4	CSEGs	6748	ENSG00000180879
SSRP1	CEGs	6749	ENSG00000149136
SSTR5	CSEGs		ENSG00000162009
SSU72	CEGs	29101	ENSG00000160075
SSUH2	CSEGs	51066	ENSG00000125046
ST13	CSEGs	6767	ENSG00000100380
ST18	CSEGs	9705	ENSG00000147488
ST3GAL1	CSEGs	6482	ENSG00000008513
ST6GAL2	CSEGs	84620	ENSG00000144057
ST6GALNAC3	CSEGs	256435	ENSG00000184005
ST8SIA3	CSEGs	51046	ENSG00000177511
ST8SIA6	CSEGs	338596	ENSG00000148488
STAG3L4	CSEGs	64940	ENSG00000106610
STAT3	CSEGs	6774	ENSG00000168610
STAT5A	CSEGs	6776	ENSG00000126561
STK17A	CSEGs	9263	ENSG00000164543
STK17B	CSEGs	9262	ENSG00000081320
STK33	CSEGs	65975	ENSG00000130413
STMN1	CSEGs	3925	ENSG00000117632
STMN2	CSEGs	11075	ENSG00000104435
STOML1	CSEGs	9399	ENSG00000067221
STPG2	CSEGs	285555	ENSG00000163116
STRA8	CSEGs	346673	ENSG00000146857
STRADB	CSEGs	55437	ENSG00000082146
STRIP1	CSEGs	85369	ENSG00000143093
STXBP4	CSEGs	252983	ENSG00000166263
SUCNR1	CSEGs	56670	ENSG00000198829
SULF2	CSEGs	55959	ENSG00000196562
SULT1A1	CSEGs	6817	ENSG00000196502
SULT1B1	CSEGs	27284	ENSG00000173597
SUMF2	CSEGs	25870	ENSG00000129103
SUPT16H	CEGs	11198	ENSG00000092201
SUPT6H	CEGs	6830	
